index,cluster,true_label,mapped_label
0,5,1,4
1,0,4,5
2,0,5,5
3,0,6,5
4,2,3,2
5,2,6,2
6,3,2,3
7,4,3,1
8,0,5,5
9,2,3,2
10,1,1,6
11,0,6,5
12,0,4,5
13,1,1,6
14,3,2,3
15,2,5,2
16,4,3,1
17,2,5,2
18,1,1,6
19,3,2,3
20,5,1,4
21,0,5,5
22,0,5,5
23,2,2,2
24,0,4,5
25,0,4,5
26,3,2,3
27,2,6,2
28,2,4,2
29,1,1,6
30,0,4,5
31,5,1,4
32,0,5,5
33,1,1,6
34,1,1,6
35,2,1,2
36,1,1,6
37,3,2,3
38,1,1,6
39,3,2,3
40,5,1,4
41,0,5,5
42,2,3,2
43,3,2,3
44,4,3,1
45,3,2,3
46,0,4,5
47,5,1,4
48,0,5,5
49,0,5,5
50,0,5,5
51,0,6,5
52,5,1,4
53,1,1,6
54,2,3,2
55,1,1,6
56,2,5,2
57,4,3,1
58,0,6,5
59,3,2,3
60,3,2,3
61,2,6,2
62,3,2,3
63,0,4,5
64,4,3,1
65,0,5,5
66,5,1,4
67,0,5,5
68,1,1,6
69,3,2,3
70,2,6,2
71,0,5,5
72,1,1,6
73,2,5,2
74,0,4,5
75,5,1,4
76,4,3,1
77,5,1,4
78,1,1,6
79,2,6,2
80,2,6,2
81,0,5,5
82,0,4,5
83,3,2,3
84,2,6,2
85,2,2,2
86,0,6,5
87,0,5,5
88,0,4,5
89,0,4,5
90,5,1,4
91,0,4,5
92,5,1,4
93,1,1,6
94,3,2,3
95,0,5,5
96,1,1,6
97,0,6,5
98,0,6,5
99,0,5,5
100,5,1,4
101,2,4,2
102,0,3,5
103,1,1,6
104,0,5,5
105,5,1,4
106,2,6,2
107,2,2,2
108,3,2,3
109,2,5,2
110,0,4,5
111,1,1,6
112,3,2,3
113,5,1,4
114,4,3,1
115,1,1,6
116,2,5,2
117,2,4,2
118,0,6,5
119,2,5,2
120,2,3,2
121,0,5,5
122,4,3,1
123,2,6,2
124,2,6,2
125,2,4,2
126,4,3,1
127,4,3,1
128,4,3,1
129,5,1,4
130,2,4,2
131,2,6,2
132,2,1,2
133,3,2,3
134,2,6,2
135,2,2,2
136,0,4,5
137,0,4,5
138,2,4,2
139,5,1,4
140,2,5,2
141,1,1,6
142,3,2,3
143,5,1,4
144,1,1,6
145,5,1,4
146,0,5,5
147,2,4,2
148,2,2,2
149,5,1,4
150,3,2,3
151,4,3,1
152,3,2,3
153,1,1,6
154,2,1,2
155,4,3,1
156,2,4,2
157,4,3,1
158,4,3,1
159,0,6,5
160,0,6,5
161,5,1,4
162,1,1,6
163,3,2,3
164,2,2,2
165,0,5,5
166,2,5,2
167,1,1,6
168,0,5,5
169,4,3,1
170,2,3,2
171,4,3,1
172,0,4,5
173,3,2,3
174,4,3,1
175,0,6,5
176,0,5,5
177,0,6,5
178,1,1,6
179,0,4,5
180,1,1,6
181,0,5,5
182,2,1,2
183,3,2,3
184,2,6,2
185,3,2,3
186,0,6,5
187,3,2,3
188,1,1,6
189,3,2,3
190,0,5,5
191,5,1,4
192,2,5,2
193,3,2,3
194,0,6,5
195,2,6,2
196,5,1,4
197,5,1,4
198,4,6,1
199,0,4,5
200,5,1,4
201,0,5,5
202,0,6,5
203,2,6,2
204,4,3,1
205,4,3,1
206,0,4,5
207,5,1,4
208,2,4,2
209,2,6,2
210,1,1,6
211,2,6,2
212,0,6,5
213,0,6,5
214,1,1,6
215,3,2,3
216,2,2,2
217,4,3,1
218,0,5,5
219,3,2,3
220,0,5,5
221,4,3,1
222,2,3,2
223,5,1,4
224,5,1,4
225,5,1,4
226,0,4,5
227,5,1,4
228,1,1,6
229,4,3,1
230,5,1,4
231,1,1,6
232,4,3,1
233,4,3,1
234,5,1,4
235,0,6,5
236,5,1,4
237,0,4,5
238,0,5,5
239,1,1,6
240,2,4,2
241,5,1,4
242,2,3,2
243,2,6,2
244,3,2,3
245,5,1,4
246,0,5,5
247,2,3,2
248,2,5,2
249,4,3,1
250,4,3,1
251,2,4,2
252,4,3,1
253,3,2,3
254,0,4,5
255,1,1,6
256,2,2,2
257,0,4,5
258,5,1,4
259,1,1,6
260,0,5,5
261,1,1,6
262,4,3,1
263,0,6,5
264,0,4,5
265,0,6,5
266,2,4,2
267,3,2,3
268,2,4,2
269,2,6,2
270,3,2,3
271,0,4,5
272,5,1,4
273,0,5,5
274,3,2,3
275,5,1,4
276,1,1,6
