index,cluster,true_label,mapped_label
0,2,1,1
1,0,4,5
2,0,5,5
3,0,6,5
4,3,3,3
5,0,6,5
6,1,2,2
7,3,3,3
8,0,5,5
9,2,1,1
10,0,6,5
11,0,4,5
12,2,1,1
13,1,2,2
14,0,5,5
15,3,3,3
16,0,5,5
17,2,1,1
18,1,2,2
19,2,1,1
20,0,5,5
21,0,5,5
22,1,2,2
23,0,4,5
24,0,4,5
25,1,2,2
26,0,6,5
27,0,4,5
28,2,1,1
29,0,4,5
30,2,1,1
31,0,5,5
32,2,1,1
33,2,1,1
34,1,1,2
35,2,1,1
36,1,2,2
37,2,1,1
38,1,2,2
39,2,1,1
40,0,5,5
41,3,3,3
42,1,2,2
43,3,3,3
44,1,2,2
45,0,4,5
46,0,5,5
47,0,5,5
48,0,5,5
49,0,6,5
50,2,1,1
51,2,1,1
52,3,3,3
53,0,5,5
54,3,3,3
55,0,6,5
56,1,2,2
57,1,2,2
58,0,6,5
59,1,2,2
60,0,4,5
61,3,3,3
62,0,5,5
63,2,1,1
64,0,5,5
65,2,1,1
66,1,2,2
67,0,6,5
68,0,5,5
69,2,1,1
70,0,5,5
71,0,4,5
72,2,1,1
73,3,3,3
74,2,1,1
75,0,6,5
76,0,6,5
77,0,5,5
78,0,4,5
79,1,2,2
80,0,6,5
81,1,2,2
82,0,6,5
83,0,5,5
84,0,4,5
85,0,4,5
86,2,1,1
87,0,4,5
88,2,1,1
89,1,2,2
90,0,5,5
91,2,1,1
92,0,6,5
93,0,6,5
94,0,5,5
95,2,1,1
96,0,4,5
97,3,3,3
98,2,1,1
99,0,5,5
100,2,1,1
101,0,6,5
102,1,2,2
103,1,2,2
104,0,5,5
105,0,4,5
106,1,2,2
107,2,1,1
108,3,3,3
109,2,1,1
110,0,5,5
111,0,4,5
112,0,6,5
113,0,5,5
114,3,3,3
115,0,5,5
116,3,3,3
117,0,6,5
118,0,6,5
119,0,4,5
120,3,3,3
121,3,3,3
122,3,3,3
123,0,4,5
124,0,6,5
125,2,1,1
126,1,2,2
127,0,6,5
128,1,2,2
129,0,4,5
130,0,4,5
131,0,4,5
132,2,1,1
133,0,5,5
134,2,1,1
135,1,2,2
136,2,1,1
137,2,1,1
138,2,1,1
139,0,5,5
140,0,4,5
141,1,2,2
142,2,1,1
143,1,2,2
144,2,3,1
145,1,2,2
146,2,1,1
147,3,3,3
148,0,4,5
149,3,3,3
150,3,3,3
151,0,6,5
152,0,6,5
153,2,1,1
154,2,1,1
155,1,2,2
156,1,2,2
157,0,5,5
158,0,5,5
159,0,5,5
160,3,3,3
161,3,3,3
162,3,3,3
163,0,4,5
164,1,2,2
165,0,6,5
166,0,5,5
167,0,6,5
168,2,1,1
169,0,4,5
170,2,1,1
171,0,5,5
172,1,2,2
173,0,6,5
174,1,2,2
175,0,6,5
176,1,2,2
177,2,1,1
178,1,2,2
179,0,5,5
180,2,1,1
181,0,5,5
182,1,2,2
183,0,6,5
184,0,6,5
185,2,1,1
186,0,6,5
187,0,4,5
188,2,1,1
189,0,5,5
190,0,6,5
191,0,6,5
192,3,3,3
193,3,3,3
194,0,4,5
195,2,1,1
196,0,4,5
197,0,6,5
198,0,6,5
199,0,6,5
200,0,6,5
201,2,1,1
202,1,2,2
203,1,2,2
204,1,3,2
205,0,5,5
206,1,2,2
207,0,5,5
208,3,3,3
209,3,3,3
210,2,1,1
211,2,1,1
212,2,1,1
213,0,4,5
214,2,1,1
215,2,1,1
216,3,3,3
217,2,1,1
218,2,1,1
219,3,3,3
220,3,3,3
221,2,1,1
222,0,6,5
223,2,1,1
224,0,4,5
225,0,5,5
226,2,1,1
227,0,4,5
228,2,1,1
229,3,3,3
230,0,6,5
231,1,2,2
232,2,1,1
233,0,5,5
234,3,3,3
235,0,5,5
236,1,3,2
237,3,3,3
238,0,4,5
239,3,3,3
240,1,2,2
241,0,4,5
242,2,1,1
243,1,2,2
244,0,4,5
245,2,1,1
246,2,1,1
247,0,5,5
248,2,1,1
249,3,3,3
250,0,6,5
251,0,4,5
252,0,6,5
253,0,4,5
254,1,2,2
255,0,4,5
256,0,6,5
257,1,2,2
258,0,4,5
259,2,1,1
260,0,5,5
261,1,2,2
262,2,1,1
263,2,1,1
